temperature,,TEMP_PCT_OUTER,TEMP_PCT_OUTER,TEMP_PCT_OUTER,TEMP_PCT_OUTER,TEMP_PCT_OUTER,TEMP_PCT_OUTER
percentile,,1.0,2.5,5.0,95.0,97.5,99.0
ws,percentile or absolute,,,,,,
WS_PCT_OUTER,1.0,0.4847171532846716,0.4847171532846716,0.4847171532846716,0.0741332116788321,0.04942214111922141,0.024711070559610707
WS_PCT_OUTER,2.5,1.1671228710462287,1.1671228710462287,1.1671228710462287,0.17677919708029197,0.10454683698296838,0.05512469586374696
WS_PCT_OUTER,5.0,2.233500608272506,2.233500608272506,2.233500608272506,0.3269464720194647,0.19768856447688565,0.08743917274939172
WS_PCT_OUTER,95.0,2.5186283454987834,2.5186283454987834,2.5186283454987834,0.06272810218978102,0.028512773722627734,0.011405109489051095
WS_PCT_OUTER,97.5,1.2830748175182483,1.2830748175182483,1.2830748175182483,0.030413625304136254,0.020909367396593673,0.0076034063260340635
WS_PCT_OUTER,99.0,0.4923205596107056,0.4923205596107056,0.4923205596107056,0.0076034063260340635,0.0019008515815085159,0.0
WS_ABS_SMALLER_THAN,5.0,22.610629562043798,22.610629562043798,22.610629562043798,2.4844130170316303,1.2773722627737227,0.5702554744525548
WS_ABS_SMALLER_THAN,10.0,4.611465936739659,4.611465936739659,4.611465936739659,0.19768856447688565,0.10264598540145986,0.041818734793187345
WS_ABS_LARGER_THAN,15.0,0.3839720194647202,0.3839720194647202,0.3839720194647202,0.05702554744525547,0.0361161800486618,0.017107664233576642
WS_ABS_LARGER_THAN,20.0,0.01900851581508516,0.01900851581508516,0.01900851581508516,0.011405109489051095,0.00950425790754258,0.005702554744525547
